build,computer.platform,computer.touch,date,time,subject,group,sessionid,blockcode,blocknum,trialcode,latency,randStart,startPos,scrfunc,rtvspos,randStart,mag,freq,ev,inc,rng,startPos,fogPos1,fogPos2,chooseUncertainty1,chooseUncertainty2,uncertaintyCount1,uncertaintyCount2,blockCount,ntrials,trialCount,uncertaintyStart1,uncertaintyStart2,uncertainty_block,rt_shifted,totalPoints,totalEarnings,Earnings
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,experiment_noU,591,1,36,IEV,POS,1,,,,,,36,5,35,0,0,0,0,1,35,9,12,25,0,4085,408,31,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,dispFeedback_noU,1000,1,36,IEV,POS,1,110,0.451444895,49.68217834,110,0.416961238,36,5,35,0,0,0,0,1,35,10,12,25,0,3641,518,39,8
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,experiment_noU,3349,1,83,IEV,POS,1,,,,,,83,5,35,0,0,0,0,1,35,10,12,25,0,3641,518,39,8
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,dispFeedback_noU,1000,1,83,IEV,POS,1,123,0.428891515,52.7765069,1,0.638109842,83,5,35,0,0,0,0,1,35,11,12,25,0,3749,519,40,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,experiment_noU,1519,1,16,IEV,POS,1,,,,,,16,5,35,0,0,0,0,1,35,11,12,25,0,3749,519,40,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,dispFeedback_noU,1000,1,16,IEV,POS,1,106,0.466492055,49.48676622,106,0.208711448,16,5,35,0,0,0,0,1,35,12,12,25,1,3569,625,48,8
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,experiment_U,512,1,33,IEV,POS,1,,,,,,33,5,35,0,0,0,0,1,35,12,12,25,1,3569,625,48,8
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,dispFeedback_U,1000,1,33,IEV,POS,1,92,0.499238651,46.00296093,1,0.986677459,33,5,35,1,0,1,0,1,35,13,12,25,1,3412,626,49,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,experiment_U,1210,1,23,IEV,POS,1,,,,,,23,5,35,1,0,1,0,1,35,13,12,25,1,3412,626,49,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,dispFeedback_U,1000,1,23,IEV,POS,1,105,0.457923792,48.02618825,1,0.995888657,23,5,35,2,0,2,0,1,35,14,12,25,1,3610,627,50,1
